TRAVEL_ID,TRAVEL_LENGTH,total_payment,visit_move_cnt,IS_FAILED_TRIP,total_payment_per_day,visit_move_cnt_per_day
a_a006616,2,-0.5077588108047422,3,0,-0.5816296158821878,1.5
a_a004415,3,-0.12526117715342489,15,0,-0.1772564291110501,5.0
a_a000417,4,-0.36503581317365363,16,0,-0.46846547779325004,4.0
a_a006769,2,-0.09671657762720717,2,0,0.0701958195100939,1.0
a_a017738,2,-0.4963409709942551,5,0,-0.5635233537879578,2.5
a_a012416,3,-0.14238793686915552,14,0,-0.19536269120528016,4.666666666666667
a_a017671,2,-0.41927055227346727,4,0,-0.44130608465190496,2.0
a_a001715,3,-0.29652877431073116,9,0,-0.3583190500533505,3.0
a_a010349,2,-0.3907259527472496,3,0,-0.39604042941632983,1.5
a_a000862,3,-0.10527995748507249,7,0,-0.1561324566677817,2.3333333333333335
a_a010002,2,-0.5077588108047422,2,0,-0.5816296158821878,1.0
a_a006502,2,-0.4820686712311463,4,0,-0.5408905261701702,2.0
a_a002885,2,-0.31080107407384,6,1,-0.26929659475671947,3.0
a_a001471,2,-0.2651297148318917,4,0,-0.19687154637979928,2.0
a_a009509,2,-0.13667901696391196,4,0,0.006823902180288739,2.0
a_a005254,2,-0.33649121364743595,5,0,-0.3100356844687371,2.5
a_a008562,2,-0.32792783378957063,3,0,-0.29645598789806454,1.5
b_b011628,2,-0.2679841747845134,2,0,-0.2013981119033568,1.0
a_a004594,2,-0.410707172415602,3,0,-0.4277263880812324,1.5
a_a004646,2,-0.10813441743769425,3,0,0.05208955741586386,1.5
a_a006021,2,-0.4449606918470632,6,0,-0.4820451743639225,3.0
a_a002126,3,1.3790392178782485,5,0,1.413076924832156,1.6666666666666667
a_a014772,2,-0.3678902731262754,9,0,-0.3598279052278697,4.5
a_a005514,2,-0.46208745156279385,3,0,-0.5092045675052677,1.5
a_a018084,2,-0.5077588108047422,3,0,-0.5816296158821878,1.5
a_a018151,2,-0.2508574150687828,6,0,-0.17423871876201175,3.0
a_a004679,2,-0.4421062318944415,5,0,-0.477518608840365,2.5
a_a003791,2,-0.46494191151541564,6,0,-0.5137311330288251,3.0
a_a002887,2,-0.46208745156279385,4,0,-0.5092045675052677,2.0
a_a005825,3,0.3771237745080068,14,0,0.35386059231969796,4.666666666666667
a_a006112,2,-0.5020498908994987,2,0,-0.5725764848350728,1.0
a_a001759,2,-0.38216257288938427,5,0,-0.3824607328456573,2.5
a_a009742,2,-0.4991954309468769,4,0,-0.5680499193115153,2.0
a_a014130,2,-0.46208745156279385,4,0,-0.5092045675052677,2.0
a_a007400,2,-0.4363973119891979,2,0,-0.46846547779325004,1.0
a_a002060,2,-0.3935804126998714,4,0,-0.40056699493988734,2.0
a_a005996,2,-0.2679841747845134,7,0,-0.2013981119033568,3.5
a_a017974,2,-0.273693094689757,5,0,-0.21045124295047182,2.5
a_a002472,2,-0.32792783378957063,4,1,-0.29645598789806454,2.0
a_a006707,2,-0.5077588108047422,3,0,-0.5816296158821878,1.5
a_a006203,2,-0.32507337383694884,3,0,-0.29192942237450703,1.5
a_a002840,4,4.493255026188601,13,0,3.3836417827541925,3.25
a_a011640,2,-0.5077588108047422,5,0,-0.5816296158821878,2.5
a_a000885,3,-0.32792783378957063,4,0,-0.3915138638927723,1.3333333333333333
a_a017847,2,0.08311439938796439,4,0,0.35536944749421717,2.0
a_a000643,2,-0.37074473307889716,6,0,-0.36435447075142724,3.0
a_a001474,4,1.28484203944173,15,0,0.8397119585148709,3.75
a_a011277,3,0.12022237877204742,11,0,0.08226666090624724,3.6666666666666665
a_a000445,5,0.8538185865958425,22,0,0.28203908601258554,4.4
a_a000360,4,-0.07958981791147655,7,0,-0.24213720161537441,1.75
a_a007922,2,-0.08815319776934186,5,0,0.08377551608076644,2.5
a_a003554,2,-0.5020498908994987,8,0,-0.5725764848350728,4.0
a_a008563,2,-0.4677963714680374,5,0,-0.5182576985523827,2.5
a_a007297,2,-0.4877775911363898,6,0,-0.5499436572172852,3.0
a_a000934,5,-0.2708386347371352,9,0,-0.4313476405000784,1.8
a_a004066,3,-0.3507635134105448,11,0,-0.4156555466850791,3.6666666666666665
a_a009662,2,0.6054805707177485,3,0,1.183730938305242,1.5
a_a007845,2,-0.3878714927946278,3,0,-0.3915138638927723,1.5
a_a008375,5,0.6882599093437798,16,0,0.17702276586605117,3.2
a_a002465,2,-0.4363973119891979,4,0,-0.46846547779325004,2.0
a_a003300,3,-0.13097009705866844,7,0,-0.18329184980912677,2.3333333333333335
a_a007229,2,-0.4506696117523068,5,0,-0.49109830541103755,2.5
a_a004810,3,-0.32507337383694884,6,0,-0.388496153543734,2.0
a_a006804,2,-0.4049982525103584,6,0,-0.4186732570341174,3.0
a_a002731,3,-0.3564724333157883,10,0,-0.4216909673831557,3.3333333333333335
a_a000179,3,-0.45352407170492853,14,0,-0.5242931192504593,4.666666666666667
a_a005694,3,-0.2651297148318917,6,0,-0.32512423621392883,2.0
a_a009387,2,-0.33078229374219237,4,1,-0.30098255342162206,2.0
a_a003262,2,-0.5077588108047422,6,0,-0.5816296158821878,3.0
a_a010073,4,-0.06817197810098946,9,0,-0.2330840705682594,2.25
a_a000086,4,0.41137729393946804,7,0,0.1471474334105716,1.75
a_a011622,2,-0.3136555340264618,6,0,-0.273823160280277,3.0
a_a003650,2,-0.5077588108047422,4,1,-0.5816296158821878,2.0
a_a005145,2,-0.3136555340264618,3,0,-0.273823160280277,1.5
a_a008415,2,-0.273693094689757,5,0,-0.21045124295047182,2.5
a_a007004,2,-0.20804051577945623,11,0,-0.10634023590864906,5.5
a_a001158,4,-0.4392517719418197,13,0,-0.5273108295994977,3.25
a_a006247,3,0.548391371665313,9,0,0.5349232132619984,3.0
a_a012313,4,-0.16807807644275144,9,0,-0.31229896723051587,2.25
a_a007984,3,2.980391251299062,4,0,3.106012430642665,1.3333333333333333
a_a015355,2,-0.4677963714680374,5,0,-0.5182576985523827,2.5
a_a005867,3,0.47132095294452525,13,0,0.4534450338379632,4.333333333333333
a_a001084,3,0.3514336349344109,7,0,0.3267011991783529,2.3333333333333335
